variance,skewness,curtosis,entropy,class
-3.087,-6.636,10.540,-0.892,1
-4.377,-5.517,10.939,-0.408,1
-2.703,1.633,0.836,-0.091,1
0.942,5.856,1.876,-0.325,0
-2.982,4.199,-0.590,-3.964,1
0.380,0.710,0.757,-0.444,0
3.513,2.907,1.058,0.408,0
-1.694,2.785,-2.183,-1.928,1
2.106,7.605,-0.478,-1.846,0
4.364,-3.104,2.376,0.785,0
0.529,0.964,4.024,-1.048,0
-1.918,11.689,2.545,-3.276,0
-0.982,2.796,-1.234,-1.567,1
3.270,6.932,-1.046,0.234,0
0.682,4.850,-5.213,-6.104,1
4.167,-0.445,0.234,0.278,0
-3.205,-0.143,0.976,0.046,1
1.831,6.367,-0.036,0.050,0
-3.360,-0.327,2.132,0.602,1
-0.206,9.221,-3.704,-6.810,0
0.778,5.978,1.194,-0.353,0
2.823,10.851,-3.147,-3.978,0
-0.709,-5.560,4.048,0.903,1
0.964,5.840,2.324,0.066,0
-1.988,0.999,-0.286,-0.700,1
-0.817,3.381,-3.668,-3.456,1
3.780,-3.311,2.649,0.066,0
0.266,0.733,-0.679,0.035,1
2.372,7.491,0.016,-1.741,0
2.293,9.039,-3.242,-1.299,0
-5.637,8.126,0.131,-5.014,1
-0.985,-6.661,5.824,0.546,1
0.210,-0.461,7.727,0.909,0
0.164,-3.358,1.375,1.357,1
3.858,0.784,1.103,1.701,0
-0.873,-0.033,-0.202,0.558,1
-2.368,-0.437,1.692,-0.430,1
0.601,0.999,-2.213,0.097,1
4.277,2.495,0.486,0.361,0
-1.839,-6.301,5.651,0.196,1
5.132,-0.031,0.326,1.115,0
5.121,8.556,-3.392,-1.547,0
2.582,9.755,-3.175,-2.996,0
0.189,0.701,-0.512,0.006,1
1.162,10.293,-1.282,-4.039,0
-2.883,1.771,0.689,-0.464,1
0.508,0.478,-1.980,0.577,1
4.650,-4.830,3.455,-0.252,0
-0.360,-4.449,2.107,0.943,1
2.614,8.008,-3.726,-1.307,0
0.519,-3.263,3.090,-0.985,0
2.263,-4.486,3.656,-0.613,0
-1.821,2.752,-0.723,-2.353,1
-2.363,-0.106,1.934,1.136,1
-1.080,2.200,-2.586,-1.276,1
1.788,4.780,-5.136,-3.236,1
0.117,3.735,-4.438,-4.374,1
-1.819,-9.037,9.016,-0.122,1
-0.954,1.982,-2.316,-1.196,1
4.216,9.461,-4.929,-5.237,0
0.121,0.223,-0.473,0.970,1
-6.368,8.010,0.425,-3.221,1
3.842,10.021,-4.270,-4.916,0
-2.910,-10.071,8.416,-1.995,1
-1.562,-2.212,4.259,0.280,1
2.228,4.095,-4.804,-2.111,1
-0.569,1.417,-1.425,-1.125,1
-2.588,3.865,-0.334,-1.280,1
-0.715,-4.445,2.224,0.498,1
5.201,0.327,0.180,1.180,0
-1.668,-7.154,7.893,0.968,1
3.900,1.734,1.601,0.968,0
0.743,11.170,-1.382,-4.073,0
0.329,-4.455,4.572,-0.989,0
-2.883,3.896,-0.189,-1.167,1
0.856,0.008,6.604,-0.531,0
0.896,10.547,-1.417,-4.033,0
-5.241,6.626,-0.199,-6.861,1
-2.542,-0.658,2.684,1.195,1
4.165,-3.450,3.643,1.088,0
1.567,7.927,-0.057,-2.169,0
-4.478,7.371,-0.312,-6.775,1
1.948,-4.774,8.527,-1.867,0
-1.771,-10.767,10.218,-1.004,1
5.242,11.027,-4.353,-4.101,0
4.845,8.112,-2.951,-1.472,0
-2.314,2.084,-0.468,-1.677,1
-0.614,-0.091,-0.318,0.502,1
-0.416,0.325,-0.336,-0.360,1
-2.494,3.545,-1.372,-2.848,1
-2.090,10.826,2.360,-3.420,0
0.380,0.710,0.757,-0.444,0
5.608,10.301,-4.800,-4.353,0
0.214,-0.695,0.877,0.297,1
3.481,9.701,-3.754,-3.438,0
5.402,3.104,-1.154,1.565,0
-0.304,2.653,-2.776,-0.656,1
3.777,9.779,-3.908,-3.532,0
5.287,3.257,-1.372,1.167,0
4.455,2.498,1.031,0.969,0
0.116,3.222,-3.430,-2.846,1
-1.279,-2.409,4.574,0.476,1
3.848,10.154,-3.856,-4.223,0
-1.664,-1.368,1.997,0.523,1
-0.409,3.098,-2.961,-2.689,1
-3.817,5.140,-0.651,-5.431,1
0.519,-3.263,3.090,-0.985,0
5.681,7.795,-2.685,-0.925,0
3.229,7.739,-0.378,-2.541,0
-0.062,6.197,1.099,-1.131,0
0.757,3.029,2.916,-0.068,0
-0.092,0.393,-0.328,-0.138,1
2.986,7.267,-0.409,-2.243,0
-1.307,0.252,0.762,1.776,1
-0.337,-0.650,7.666,0.723,0
1.936,8.165,-0.023,-2.259,0
-6.336,9.285,0.014,-6.784,1
3.367,-5.186,3.693,-1.143,0
2.954,1.076,0.646,0.894,0
-1.341,-2.078,2.809,0.607,1
-3.592,-6.229,10.239,-1.154,1
4.711,2.075,-0.270,1.238,0
-1.532,-5.097,6.678,0.175,1
-1.770,3.433,-1.214,-2.379,1
0.571,-0.025,1.242,-0.562,0
-1.557,-9.881,8.109,-1.081,1
-2.991,-6.626,8.652,1.820,1
1.916,6.082,0.237,-2.012,0
-1.253,10.204,2.179,-5.604,0
5.886,5.875,-2.817,-0.301,0
1.880,2.471,2.493,0.377,0
1.208,4.074,-4.763,-2.613,1
-3.379,-13.773,17.927,-2.032,1
-2.258,-9.326,9.373,-0.859,1
2.289,3.733,0.631,-0.398,0
-3.886,-12.846,12.796,-3.135,1
1.181,8.385,-2.057,-0.903,0
5.419,10.146,-4.084,-3.699,0
-1.822,-6.882,5.468,0.057,1
4.223,1.132,0.722,0.961,0
-4.397,4.960,-0.649,-5.472,1
-3.019,1.778,0.737,-0.453,1
3.404,8.726,-2.991,-0.572,0
3.544,1.240,1.997,2.155,0
4.434,9.887,-4.679,-3.748,0
4.827,3.069,0.686,0.807,0
-0.219,-2.204,-0.095,0.564,1
1.220,2.098,-3.195,0.128,1
0.519,-3.263,3.090,-0.985,0
-1.139,1.813,6.914,0.701,0
5.306,5.268,-2.890,-0.527,0
1.551,3.801,-4.914,-3.748,1
-2.777,-5.697,5.918,0.377,1
2.556,3.361,2.032,0.268,0
-4.843,-4.993,10.405,-0.531,1
-2.089,-0.484,1.704,1.744,1
-1.756,11.946,3.095,-4.898,0
1.548,9.181,-1.633,-1.738,0
3.929,1.411,1.808,0.898,0
-5.119,6.649,-0.050,-6.521,1
1.305,-0.155,6.491,-0.753,0
0.143,-1.089,1.004,0.488,1
3.259,-4.461,3.802,-0.151,0
1.680,4.207,-4.540,-2.393,1
2.096,2.477,1.938,-0.041,0
1.438,0.668,-2.027,1.027,1
0.913,3.338,-4.056,-1.674,1
-0.048,-1.604,8.476,0.756,0
1.742,3.683,-4.013,-1.721,1
-0.643,2.475,-2.945,-1.028,1
0.968,7.191,1.280,-2.457,0
-2.217,1.467,-0.727,-1.172,1
-0.773,-7.447,6.492,0.361,1
2.084,6.626,0.484,-2.213,0
-0.467,2.338,-2.981,-1.043,1
-0.887,2.808,-3.143,-1.204,1
3.948,-3.772,2.883,0.020,0
4.385,-3.073,3.042,1.274,0
1.226,0.896,5.757,-0.116,0
4.385,-4.879,3.366,-0.029,0
-4.293,3.342,0.773,-0.998,1
0.250,9.326,-3.687,-6.254,0
-2.629,0.180,1.796,0.973,1
3.890,-2.152,2.630,1.105,0
2.397,0.236,4.848,1.437,0
0.343,0.124,-0.287,0.147,1
-1.523,-6.479,5.757,0.873,1
0.239,2.088,-3.352,-0.666,1
-1.755,-0.081,-0.758,-0.371,1
-6.154,7.929,0.617,-3.265,1
5.262,3.983,-1.557,1.010,0
-1.912,-6.160,5.606,0.485,1
-3.388,-8.215,10.332,0.982,1
2.108,6.795,-0.171,0.490,0
0.590,7.427,1.235,-2.959,0
3.095,8.732,-2.901,-0.967,0
1.064,3.696,-4.159,-1.938,1
1.296,4.285,-4.846,-2.901,1
-6.398,6.448,1.084,-6.618,1
4.055,-2.458,2.281,1.032,0
1.014,8.455,-1.672,-2.082,0
2.401,9.359,-3.357,-3.353,0
4.718,10.015,-3.949,-3.858,0
1.262,4.430,-1.333,-1.752,0
-0.783,11.360,-0.376,-7.050,0
1.965,6.938,0.577,0.664,0
-3.920,4.072,-0.237,-2.115,1
-1.992,11.654,2.654,-5.211,0
0.778,6.642,-1.143,-1.057,0
3.624,1.461,1.350,1.928,0
3.242,6.226,0.122,-1.447,0
5.359,3.756,-1.734,1.079,0
4.601,5.626,-2.123,0.193,0
-1.760,11.921,2.676,-3.324,0
1.518,5.695,0.095,-0.027,0
4.569,-4.455,3.177,0.004,0
-2.620,-6.856,6.217,-0.623,1
-2.315,3.667,-0.697,-1.247,1
1.899,7.662,0.154,-3.111,0
3.492,8.571,-3.033,-0.592,0
-2.482,-7.305,6.839,-0.591,1
-2.508,-0.228,1.488,1.207,1
2.316,-2.628,3.153,-0.086,0
-1.393,1.566,7.538,0.784,0
3.431,6.264,-1.951,-0.362,0
2.093,8.306,0.023,-3.272,0
-2.714,11.454,2.109,-3.963,0
1.450,3.607,-4.056,-1.597,1
0.936,8.641,-1.635,-1.304,0
3.757,-5.424,3.825,-1.253,0
-1.029,-6.388,5.526,0.800,1
-1.339,1.552,7.081,1.031,0
-2.641,-4.416,5.983,-0.139,1
-1.798,-6.769,6.675,0.899,1
-2.328,1.438,-0.821,-1.286,1
-1.710,-4.778,6.211,0.397,1
-0.894,3.199,-1.822,-2.945,1
2.692,10.816,-3.300,-4.289,0
1.356,3.214,4.346,0.787,0
5.937,6.166,-2.591,-0.366,0
3.910,6.065,-2.453,-0.682,0
-2.076,10.822,2.644,-4.837,0
-1.778,0.855,7.130,0.028,0
2.393,9.798,-3.036,-2.822,0
3.376,-4.095,4.367,1.070,0
-0.787,9.566,-3.787,-7.503,0
1.143,-3.741,5.578,-0.636,0
3.385,3.267,0.910,0.251,0
-4.003,-13.498,17.677,-3.320,1
1.152,1.386,5.273,-0.435,0
0.017,8.693,1.399,-3.967,0
4.837,10.013,-4.324,-4.328,0
0.664,-0.046,-0.188,0.234,1
5.735,5.281,-2.260,0.075,0
2.950,2.249,1.346,-0.037,0
-2.299,-5.227,5.630,0.917,1
-6.753,8.817,-0.062,-3.725,1
-1.624,-6.344,4.657,0.170,1
-0.271,3.267,-3.556,-3.089,1
0.679,4.120,-4.569,-4.141,1
0.904,3.371,-4.499,-3.696,1
-1.119,3.336,-1.345,-1.957,1
2.042,1.244,4.217,0.904,0
-5.903,6.568,0.677,-6.680,1
-3.099,-10.460,8.972,-2.343,1
-5.294,-5.146,10.333,-1.118,1
-2.167,0.124,-1.046,-0.862,1
-4.402,-12.937,15.656,-1.681,1
-3.941,-12.879,13.060,-3.312,1
1.340,4.132,-4.702,-2.599,1
-7.042,9.200,0.259,-4.683,1
1.357,4.236,2.134,0.321,0
2.721,9.082,-3.311,-0.968,0
-4.211,-12.474,14.970,-1.388,1
0.741,1.730,-3.196,-0.146,1
-0.658,-2.802,3.712,0.997,1
0.396,6.887,1.059,-0.676,0
1.775,-0.770,5.585,1.304,0
3.694,-3.948,4.263,1.158,0
-4.068,2.495,0.796,-1.104,1
4.052,5.680,-1.969,0.026,0
1.762,4.368,2.138,0.754,0
6.092,2.967,-1.327,1.455,0
-1.836,-6.756,5.059,-0.550,1
-0.603,1.724,-2.150,-0.770,1
-2.015,3.687,-1.938,-3.892,1
3.330,0.913,1.581,0.394,0
-0.835,0.805,-1.641,-0.192,1
-1.237,-1.691,2.518,0.516,1
-0.236,9.322,2.131,-4.379,0
-1.366,0.184,0.905,1.581,1
-1.101,-7.251,6.014,0.369,1
0.248,7.644,0.989,-0.874,0
-4.634,-12.751,16.717,-3.217,1
-0.917,9.988,1.180,-5.226,0
-0.633,-5.128,4.562,1.480,1
-0.360,4.116,3.114,-0.372,0
2.424,9.533,-3.079,-2.775,0
-2.915,4.054,-0.457,-4.033,1
1.225,8.778,-2.213,-0.806,0
1.448,-4.879,8.343,-2.109,0
4.925,0.689,0.773,1.210,0
1.055,1.186,-2.641,0.110,1
-2.218,-1.254,2.999,0.364,1
-0.758,2.535,-3.046,-1.263,1
1.643,3.015,0.228,-0.147,0
4.635,-3.009,2.677,1.212,0
-6.200,8.681,0.009,-3.703,1
2.127,6.878,0.448,-2.222,0
-1.239,-6.541,4.815,-0.033,1
0.117,6.276,-1.550,-2.475,0
2.821,7.311,-0.819,-1.878,0
-3.889,-7.832,9.821,0.475,1
1.117,8.650,-0.963,-1.811,0
-0.287,3.178,-3.577,-3.190,1
-2.133,1.569,-0.084,-1.745,1
2.783,10.980,-3.557,-4.404,0
-1.131,1.904,7.534,1.022,0
5.504,10.367,-4.413,-4.021,0
3.189,-3.414,2.774,-0.203,0
-3.358,-7.240,11.442,-0.571,1
-1.490,-2.218,1.605,0.894,1
0.774,9.055,-2.409,-1.388,0
3.466,1.111,1.742,1.339,0
0.185,6.508,2.013,-0.872,0
-1.417,-2.253,1.518,0.620,1
-0.429,-0.147,0.044,-0.156,1
-2.665,-12.813,12.669,-1.908,1
1.228,4.031,-4.644,-3.913,1
0.406,1.349,-1.450,-0.559,1
-3.807,-8.097,10.177,0.651,1
3.359,9.802,-3.821,-3.713,0
3.618,-3.745,2.827,-0.712,0
3.463,-4.449,3.543,0.154,0
3.658,5.686,-1.716,-0.238,0
-0.699,-3.377,4.121,1.504,1
-1.300,10.268,-2.953,-5.864,0
-1.397,3.319,-1.393,-1.995,1
-4.478,-13.030,17.083,-3.034,1
1.156,6.400,1.551,0.696,0
4.120,10.926,-3.893,-4.180,0
-2.390,-0.784,3.014,0.762,1
-4.141,3.462,-0.478,-3.888,1
-2.179,-6.448,6.034,-0.208,1
-5.068,-5.188,10.427,-0.867,1
-0.475,-4.350,1.990,0.752,1
-4.676,-5.664,10.969,-0.334,1
1.451,8.790,-2.232,-0.653,0
-3.848,-12.805,15.682,-1.281,1
-0.787,9.566,-3.787,-7.503,0
-0.240,-1.784,2.135,1.242,1
2.153,-6.167,8.083,-0.344,0
0.621,3.677,-4.077,-2.071,1
0.474,3.361,-4.506,-4.043,1
-1.409,-2.125,-0.104,-0.192,1
2.665,10.754,-3.399,-4.168,0
-2.899,-0.604,2.604,1.378,1
-3.895,3.816,-0.313,-3.819,1
1.275,8.817,-1.532,-1.796,0
2.175,-0.809,5.102,-0.680,0
-0.217,8.033,1.885,-3.885,0
0.154,0.118,-1.682,0.595,1
-3.970,3.681,-0.600,-4.013,1
5.021,8.076,-3.051,-1.716,0
-3.568,-8.213,10.083,0.968,1
3.866,-2.638,1.924,0.106,0
4.104,-4.807,3.349,-0.492,0
-2.862,4.519,-0.581,-4.263,1
-2.263,-0.099,2.813,0.487,1
-2.412,-9.136,9.344,-0.653,1
-3.895,4.039,-0.302,-2.184,1
4.096,10.189,-3.932,-4.183,0
2.314,10.665,-3.529,-4.767,0
0.275,9.219,-3.286,-4.845,0
-2.324,11.518,1.823,-5.375,0
-2.726,3.921,-0.492,-3.637,1
3.536,6.709,-0.819,0.479,0
0.539,3.894,-4.817,-4.342,1
-3.805,2.427,0.681,-1.087,1
-1.568,-7.245,6.554,-0.128,1
0.804,2.847,4.344,0.602,0
-3.601,-6.539,10.523,-0.490,1
-4.196,-8.182,12.129,-1.602,1
-0.510,-0.236,0.020,0.763,1
-4.244,-13.063,17.112,-2.802,1
0.930,-3.797,4.643,-0.296,0
-3.142,-13.037,15.677,-0.662,1
-2.592,-1.055,3.895,0.778,1
-0.499,1.773,-2.247,-0.681,1
1.375,8.879,-1.914,-0.538,0
0.524,3.644,-4.075,-1.991,1
2.001,1.864,2.649,0.474,0
3.482,-4.163,3.501,-0.078,0
3.670,2.994,0.851,0.307,0
-0.703,2.957,-3.595,-3.146,1
0.642,3.129,4.293,0.647,0
-4.017,-8.312,12.455,-1.438,1
-0.126,10.322,-3.712,-6.119,0
3.702,6.994,-1.851,-0.129,0
-1.603,-0.389,1.620,1.910,1
-4.124,3.791,-0.653,-4.180,1
3.106,9.541,-4.254,-4.003,0
0.376,-0.824,0.785,0.745,1
0.983,3.423,-3.969,-1.712,1
-2.268,3.296,-2.256,-2.464,1
-1.005,0.085,-0.246,0.457,1
-3.590,-6.572,10.525,-0.164,1
1.821,6.756,0.010,0.395,0
-3.127,-7.112,11.390,-0.084,1
-3.750,-13.459,17.593,-2.777,1
3.519,6.332,-1.779,-0.020,0
-1.150,1.295,7.701,0.626,0
-2.596,-9.349,9.794,-0.280,1
2.805,0.577,1.342,1.213,0
3.850,9.794,-4.151,-4.458,0
-1.839,-9.088,9.242,-0.104,1
0.148,7.946,1.074,-3.341,0
-1.699,-7.116,5.790,0.167,1
-0.895,2.028,-2.365,-1.275,1
3.489,6.690,-1.204,-0.388,0
-2.446,1.629,-0.885,-1.480,1
-2.208,-9.107,8.999,-0.284,1
3.917,10.249,-4.093,-4.466,0
-2.343,12.952,3.329,-5.943,0
-2.096,-7.106,6.619,-0.337,1
-5.205,7.259,0.071,-7.300,1
2.803,9.086,-3.367,-1.022,0
1.897,-2.516,2.809,-0.797,0
-0.491,2.845,-3.644,-3.100,1
1.837,6.129,0.840,0.553,0
-3.599,-13.659,17.605,-2.493,1
-3.000,-9.157,9.577,-0.730,1
1.546,8.548,0.419,-2.178,0
3.358,-4.306,6.024,0.183,0
-1.224,1.748,-1.480,-1.418,1
-1.805,-6.814,6.702,1.168,1
-3.380,-0.708,2.533,0.718,1
0.259,5.010,-5.039,-6.386,1
-0.973,-6.417,5.603,1.032,1
-1.463,-1.571,2.436,0.498,1
-6.425,9.531,0.023,-6.852,1
2.420,6.466,-0.757,0.228,0
-2.791,-5.713,5.953,0.459,1
-0.161,-6.462,8.357,-1.522,0
1.019,1.103,-2.300,0.594,1
-0.539,-5.167,3.440,0.052,1
-3.574,3.944,-0.079,-2.120,1
-0.554,-7.923,6.716,0.744,1
0.562,1.002,-2.273,-0.006,1
2.031,1.852,-3.012,0.003,1
-1.508,-7.319,7.898,1.229,1
-0.117,0.604,-0.386,-0.059,1
0.273,4.877,-4.919,-5.820,1
-0.349,3.193,-3.405,-3.183,1
2.172,-0.739,5.467,-0.724,0
-2.066,0.170,-1.005,-0.830,1
2.558,2.622,1.851,0.403,0
-0.821,0.652,-0.489,-0.527,1
-0.610,-4.002,1.847,0.602,1
3.629,0.813,1.628,0.776,0
-0.120,6.874,0.920,-0.669,0
2.252,-5.142,4.292,-1.249,0
2.483,6.615,-0.793,-0.909,0
-0.777,0.130,-0.031,-0.354,1
1.699,2.909,2.904,0.110,0
3.692,-3.958,4.344,1.352,0
-0.106,-0.768,7.758,0.642,0
1.131,7.921,1.093,-2.844,0
4.276,-2.653,2.138,0.944,0
0.751,1.916,-3.110,-0.205,1
0.496,10.224,-1.097,-4.016,0
0.322,-0.898,8.088,0.692,0
-0.365,2.893,-3.646,-3.060,1
-2.262,-4.743,6.349,0.112,1
0.660,10.388,-1.403,-3.915,0
-3.506,-12.567,15.161,-0.752,1
-0.831,0.039,0.054,-0.231,1
3.658,7.280,-2.269,-1.144,0
-0.508,2.868,-1.811,-2.261,1
2.392,4.556,-4.989,-2.899,1
3.667,4.302,0.559,0.338,0
-3.461,2.690,0.162,-1.022,1
-1.972,2.882,-2.309,-2.372,1
-2.180,3.379,-1.226,-2.662,1
-0.959,-6.713,4.986,0.329,1
-3.113,-6.841,10.740,-1.017,1
5.203,3.512,-1.254,1.013,0
0.123,8.985,-0.935,-2.433,0
3.936,10.588,-3.725,-4.313,0
2.688,6.019,-0.466,-0.693,0
0.601,1.933,-3.289,-0.324,1
0.744,-3.772,1.613,1.575,1
-3.355,0.356,2.647,-0.378,1
-0.879,-2.212,-0.052,0.100,1
5.086,3.280,-1.270,1.119,0
2.533,2.913,-0.822,-0.122,0
1.726,-4.470,8.222,-1.807,0
1.982,9.262,-3.521,-1.872,0
2.015,0.437,4.586,-0.315,0
-1.585,-2.156,1.708,0.902,1
0.548,10.375,-1.544,-4.163,0
-2.462,2.764,-0.626,-2.857,1
3.529,0.716,1.951,1.938,0
4.135,6.119,-2.429,-0.196,0
-2.234,-7.031,7.494,0.613,1
-0.167,5.897,0.498,-0.700,0
-1.094,2.307,-2.524,-1.445,1
-3.696,-13.678,17.579,-2.618,1
-1.525,-6.253,5.352,0.599,1
2.533,7.528,-0.419,-2.648,0
1.168,9.157,-2.087,-0.806,0
2.672,3.065,0.372,0.586,0
-1.577,10.843,2.546,-2.936,0
3.546,9.372,-4.035,-3.956,0
-0.778,3.402,-3.486,-3.557,1
-2.336,11.960,3.083,-5.444,0
2.395,9.508,-3.178,-3.009,0
1.647,0.482,4.745,1.225,0
4.564,-3.627,2.868,0.277,0
2.716,-4.201,4.191,0.170,0
0.497,5.527,1.778,-0.472,0
-4.505,-5.813,10.887,-0.528,1
0.224,-0.521,-0.404,1.202,1
-0.370,-5.554,4.775,1.547,1
3.205,8.689,-2.903,-0.782,0
-0.878,3.257,-3.678,-3.294,1
0.571,-0.025,1.242,-0.562,0
0.936,8.886,-1.683,-1.660,0
3.783,10.053,-3.887,-3.737,0
-1.858,7.886,-1.664,-1.838,0
2.188,2.736,1.328,-0.183,0
0.519,-3.263,3.090,-0.985,0
1.957,-5.115,8.613,-1.430,0
-0.072,3.741,-4.542,-4.253,1
1.024,6.901,-2.006,-2.712,0
4.203,0.228,0.961,0.973,0
2.429,9.382,-3.248,-1.454,0
4.656,7.640,-2.424,-1.238,0
3.240,-3.708,5.280,0.413,0
-0.278,8.188,-3.134,-2.528,0
-0.556,3.214,-3.308,-2.796,1
2.091,0.944,4.551,1.234,0
2.132,-2.040,2.557,-0.062,0
4.068,-2.936,2.199,0.501,0
-2.553,-7.362,6.926,-0.668,1
-2.226,12.540,2.944,-3.526,0
3.067,-4.412,3.824,-0.817,0
-1.522,-6.638,5.749,-0.107,1
-1.397,-9.670,9.465,-0.349,1
3.776,7.178,-1.520,0.401,0
6.825,5.219,-2.542,0.546,0
3.465,-3.917,3.975,0.361,0
3.972,1.037,0.760,1.001,0
4.171,8.722,-3.022,-0.597,0
0.383,6.812,1.813,-0.613,0
5.062,-0.358,0.447,0.999,0
-2.004,-9.368,9.333,-0.103,1
-2.280,-0.306,1.335,1.376,1
5.173,3.961,-1.983,0.408,0
4.468,2.291,0.958,0.831,0
-2.123,1.181,-0.556,-0.812,1
-1.858,7.886,-1.664,-1.838,0
-1.758,2.740,-2.532,-2.234,1
4.676,-3.389,3.490,1.477,0
0.211,9.436,-0.095,-1.859,0
-2.914,-9.471,9.767,-0.602,1
3.498,3.164,0.227,-0.165,0
2.453,2.965,0.200,-0.056,0
0.385,6.599,-0.334,-0.565,0
-1.522,10.841,2.783,-4.097,0
-1.835,11.033,3.186,-4.889,0
-0.015,-1.024,-0.940,0.650,1
-2.106,1.181,-0.533,-0.827,1
-0.206,9.221,-3.704,-6.810,0
-0.620,0.559,-0.386,-0.664,1
2.194,4.550,-4.976,-2.725,1
-3.285,4.037,-0.454,-1.823,1
-1.749,-6.332,6.099,0.143,1
-1.341,-1.916,-0.155,-0.120,1
3.773,7.207,-1.681,-0.947,0
3.798,10.423,-4.160,-4.973,0
0.876,6.814,0.842,-0.172,0
0.644,3.764,-4.474,-4.048,1
2.695,6.798,-0.403,0.449,0
-2.034,-1.409,1.158,0.365,1
4.097,0.470,1.667,0.916,0
-0.735,1.736,-1.494,-1.158,1
-0.173,-1.182,1.382,0.734,1
-0.364,3.044,-3.482,-2.784,1
3.953,-2.355,2.379,0.483,0
4.246,1.198,0.666,0.947,0
1.685,8.749,-1.264,-1.386,0
-1.391,-1.378,2.305,-0.022,1
0.816,4.840,-5.261,-6.082,1
-2.686,-0.097,0.617,0.061,1
-1.267,2.818,-2.426,-1.886,1
-2.253,11.532,2.590,-3.274,0
0.025,3.400,-4.433,-4.266,1
0.300,7.133,-0.315,-1.183,0
-3.116,-8.629,10.440,0.972,1
1.859,3.207,-0.160,-0.262,0
-6.060,9.295,-0.436,-6.369,1
-2.708,-6.827,7.534,0.590,1
-4.855,-5.904,10.982,-0.822,1
-6.577,6.802,0.855,-7.534,1
-1.695,1.066,8.829,0.950,0
-1.834,-6.591,5.643,0.550,1
-0.267,-0.646,-0.420,0.891,1
-2.473,-0.401,1.486,1.119,1
2.015,1.848,3.138,0.428,0
0.655,5.181,1.067,-0.421,0
