variance;skewness;curtosis;entropy;class;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;1,984841754;0,901072008;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;1,51060046;-1,315791342;0;;1;-0,0502549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9;-0,707813481;-0,023768499;0;;-0,0502549;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;PC0;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;-0,534328913;-0,864353127;-0,284134876;-0,967997809;-0,983017952;1,19140629;0,781332926;2,04064919;0,137750848;-0,517306579;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;i=1;;;;;;i=2;;;;;i=3;;;
;;0,707106781;0,707106781;;;;;;;;;;;;;;K1;-0,28413;;;;;;K1;-0,404006935;;;;;K1;-0,691856542;;;;K1;-0,573341201;;
;;;;;;;;;;;;;;;;;K0;2,040649;;;;;;K0;0,459541887;;;;;K0;1,037784814;;;;K0;1,337796136;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;[ 0.28047081 -0.04309303  0.32597967  0.18765447  0.47239046 -0.21616832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;   0.01089807 -0.02029105  0.58567093 -0.40568429];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;c-means;real;;;;;;;;;;;;;;;;;;;;;
;;0,28047081;-0,04309303;0,32597967;0,18765447;0,47239046;-0,21616832;0,01089807;-0,02029105;0,58567093;-0,40568429;;;0;-0,534328913;1;1;;D(x,K1);D(x,K0);Class;;;;D(x,K1);D(x,K0);Class;;;;D(x,K1);D(x,K0);Class;;;D(x,K1);D(x,K0);Class
;;;;;;;;;;;;;;1;-0,864353127;1;1;0;0,250198913;2,574977913;K1;;;0;0,130321977;0,9938708;K1;;;0;0,15752763;1,572113726;K1;;0;0,039012288;1,872125048;K1
;;;;;;;;;;;;;;2;-0,284134876;1;1;1;0,580223127;2,905002127;K1;;;1;0,460346192;1,323895014;K1;;;1;0,172496584;1,902137941;K1;;1;0,291011926;2,202149262;K1
;;;;;;;;;;;;;;3;-0,967997809;1;1;2;4,87559E-06;2,324783876;K1;;;2;0,11987206;0,743676763;K1;;;2;0,407721667;1,321919689;K1;;2;0,289206325;1,621931011;K1
;;;;;;;;;;;;;;4;-0,983017952;1;1;3;0,683867809;3,008646809;K1;;;3;0,563990874;1,427539696;K1;;;3;0,276141267;2,005782623;K1;;3;0,394656608;2,305793945;K1
;;;;;;;;;;;;;;5;1,19140629;0;0;4;0,698887952;3,023666952;K1;;;4;0,579011016;1,442559839;K1;;;4;0,291161409;2,020802765;K1;;4;0,409676751;2,320814087;K1
;;;;;;;;;;;;;;6;0,781332926;0;0;5;1,47553629;0,84924271;K0;;;5;1,595413225;0,731864403;K0;;;5;1,883262833;0,153621476;K0;;5;1,764747491;0,146389845;K0
;;;;;;;;;;;;;;7;2,04064919;0;0;6;1,065462926;1,259316074;K1;;;6;1,185339861;0,321791039;K0;;;6;1,473189468;0,256451888;K0;;6;1,354674127;0,55646321;K0
;;;;;;;;;;;;;;8;0,137750848;1;0;7;2,32477919;1,90492E-07;K0;;;7;2,444656126;1,581107303;K0;;;7;2,732505733;1,002864377;K0;;7;2,613990391;0,702853055;K0
;;;;;;;;;;;;;;9;-0,517306579;1;0;8;0,421880848;1,902898152;K1;;;8;0,541757783;0,321791039;K0;;;8;0,829607391;0,900033965;K1;;8;0,711092049;1,200045287;K1
;;;;;;;;;;;;;;;;;;9;0,233176579;2,557955579;K1;;;9;0,113299644;0,976848466;K1;;;9;0,174549963;1,555091393;K1;;9;0,056034622;1,855102715;K1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;variance;curtosis;class;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;0;-0,108332408;-0,647322787;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;1;-0,512439426;-0,709940488;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;2;0,00354846;-0,405375855;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;3;-1,389117875;0,020162244;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;4;-0,380937659;-1,00925966;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;5;0,451071935;1,233830999;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6;-0,85142176;1,95639338;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7;1,984841754;0,901072008;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;8;1,51060046;-1,315791342;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;9;-0,707813481;-0,023768499;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;0,188488258;;;;;;;;;;;;;;;;;;;;
;;;;;;;0;1;2;3;4;5;6;7;8;9;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;0;0,289156929;0,188488258;1,021260906;0,32039969;1,387745075;1,914617411;1,841046511;1,238505922;0,611636128;;;;;;;;;;;;;;;;;;;;;;
;;;;;;1;0,289156929;0;0,423676241;0,806726441;0,231175995;1,534047219;1,900558513;2,101401265;1,493275868;0,504481427;;;;;;;;;;;;;;;;;;;;;;
;;;;;;2;0,188488258;0,423676241;0;1,02970923;0,506213999;1,201514954;1,776081079;1,67814319;1,245002427;0,5708152;;;;;;;;;;;;;;;;;;;;;;
;;;;;;3;1,021260906;0,806726441;1,02970923;0;1,018856419;1,558731918;1,420934222;2,465725612;2,257558239;0,482755418;;;;;;;;;;;;;;;;;;;;;;
;;;;;;4;0,32039969;0,231175995;0,506213999;1,018856419;0;1,691699688;2,123258492;2,150148752;1,354968289;0,734180029;;;;;;;;;;;;;;;;;;;;;;
;;;;;;5;1,387745075;1,534047219;1,201514954;1,558731918;1,691699688;0;1,053229847;1,109769887;1,952328709;1,209250161;;;;;;;;;;;;;;;;;;;;;;
;;;;;;6;1,914617411;1,900558513;1,776081079;1,420934222;2,123258492;1,053229847;0;2,139870781;2,853624171;1,403863314;;;;;;;;;;;;;;;;;;;;;;
;;;;;;7;1,841046511;2,101401265;1,67814319;2,465725612;2,150148752;1,109769887;2,139870781;0;1,603026499;2,013171897;;;;;;;;;;;;;;;;;;;;;;
;;;;;;8;1,238505922;1,493275868;1,245002427;2,257558239;1,354968289;1,952328709;2,853624171;1,603026499;0;1,81530761;;;;;;;;;;;;;;;;;;;;;;
;;;;;;9;0,611636128;0,504481427;0,5708152;0,482755418;0,734180029;1,209250161;1,403863314;2,013171897;1,81530761;0;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;0;1;2;3;4;5;6;7;8;9;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;0;0,289156929;0,188488258;1,021260906;0,32039969;1,387745075;1,914617411;1,841046511;1,238505922;0,611636128;;;;;;;;;;;;;;;;;;;;;;
;;;;;;1;0,289156929;0;0,423676241;0,806726441;0,231175995;1,534047219;1,900558513;2,101401265;1,493275868;0,504481427;;;;;;;;;;;;;;;;;;;;;;
;;;;;;2;0,188488258;0,423676241;0;1,02970923;0,506213999;1,201514954;1,776081079;1,67814319;1,245002427;0,5708152;;;;;;;;;;;;;;;;;;;;;;
;;;;0;;3;1,021260906;0,806726441;1,02970923;0;1,018856419;1,558731918;1,420934222;2,465725612;2,257558239;0,482755418;;;;;;;;;;;;;;;;;;;;;;
;;;;0,289156929;;4;0,32039969;0,231175995;0,506213999;1,018856419;0;1,691699688;2,123258492;2,150148752;1,354968289;0,734180029;;;;;;;;;;;;;;;;;;;;;;
;;;;0;;5;1,387745075;1,534047219;1,201514954;1,558731918;1,691699688;0;1,053229847;1,109769887;1,952328709;1,209250161;;;;;;;;;;;;;;;;;;;;;;
;;;;1,021260906;;6;1,914617411;1,900558513;1,776081079;1,420934222;2,123258492;1,053229847;0;2,139870781;2,853624171;1,403863314;;;;;;;;;;;;;;;;;;;;;;
;;;;0,32039969;;7;1,841046511;2,101401265;1,67814319;2,465725612;2,150148752;1,109769887;2,139870781;0;1,603026499;2,013171897;;;;;;;;;;;;;;;;;;;;;;
;;;;1,201514954;;8;1,238505922;1,493275868;1,245002427;2,257558239;1,354968289;1,952328709;2,853624171;1,603026499;0;1,81530761;;;;;;;;;;;;;;;;;;;;;;
;;;;1,776081079;;9;0,611636128;0,504481427;0,5708152;0,482755418;0,734180029;1,209250161;1,403863314;2,013171897;1,81530761;0;;;;;;;;;;;;;;;;;;;;;;
;;;;1,67814319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1,238505922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;0,5708152;;;0,2;1;3;4;5;6;7;8;9;;;0,231175995;;;;;;;;;;;;;;;;;;;;
;;;;0;;0,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;0;;1;0,356416585;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;3;1,025485068;0,806726441;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;4;0,413306845;0,231175995;1,018856419;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;5;1,294630014;1,534047219;1,558731918;1,691699688;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;6;1,845349245;1,900558513;1,420934222;2,123258492;1,053229847;0;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;7;1,75959485;2,101401265;2,465725612;2,150148752;1,109769887;2,139870781;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;8;1,241754175;1,493275868;2,257558239;1,354968289;1,952328709;2,853624171;1,603026499;0;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;9;0,591225664;0,504481427;0,482755418;0,734180029;1,209250161;1,403863314;2,013171897;1,81530761;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;0,2;1,4;3;5;6;7;8;9;;;;0,384861715;;;;;;;;;;;;;;;;;;;;
;;;;;;0,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;1,4;0,384861715;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;3;1,025485068;0,91279143;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;5;1,294630014;1,612873453;1,558731918;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;6;1,845349245;2,011908502;1,420934222;1,053229847;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;7;1,75959485;2,125775008;2,465725612;1,109769887;2,139870781;0;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;8;1,241754175;1,424122078;2,257558239;1,952328709;2,853624171;1,603026499;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;9;0,591225664;0,619330728;0,482755418;1,209250161;1,403863314;2,013171897;1,81530761;0;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;0,2,1,4;3;5;6;7;8;9;;;;;;;;0,2;1,4;3,9;5;6;7;8;;0,506213999;;;;;;;;;
;;;;;;0,2,1,4;0;;;;;;;;;;;0,482755418;;0,2;0;;;;;;;;;;;;;;;;;
;;;;;;3;0,969138249;0;;;;;;;;;;;;1,4;0,506213999;0;;;;;;;;;;;;;;;;
;;;;;;5;1,453751734;1,558731918;0;;;;;;;;;;;3,9;1,025485068;0,91279143;0;;;;;;;;;;;;;;;
;;;;;;6;1,928628874;1,420934222;1,053229847;0;;;;;;;;;;5;1,201514954;1,558731918;1,558731918;0;;;;;;;;;;;;;;
;;;;;;7;1,942684929;2,465725612;1,109769887;2,139870781;0;;;;;;;;;6;1,776081079;1,534047219;1,420934222;1,053229847;0;;;;;;;;;;;;;
;;;;;;8;1,332938127;2,257558239;1,952328709;2,853624171;1,603026499;0;;;;;;;;7;1,67814319;2,465725612;2,465725612;1,109769887;2,139870781;0;;;;;;;;;;;;
;;;;;;9;0,605278196;0,482755418;1,209250161;1,403863314;2,013171897;1,81530761;0;;;;;;;8;1,238505922;2,257558239;2,257558239;1,952328709;2,853624171;1,603026499;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;0,2,1,4;3,9;5;6;7;8;;;;;;0,787208222;;;;;;;;;;;;;;;;;;;;
;;;;;;0,2,1,4;0;;;;;;;;;;;;;;0,2,1,4;3,9;5;6;7;8;;;1,025485068;;;;;;;;;
;;;;;;3,9;0,787208222;0;;;;;;;;;;;;0,2,1,4;0;;;;;;;;;;;;;;;;;
;;;;;;5;1,453751734;1,383991039;0;;;;;;;;;;;3,9;1,025485068;0;;;;;;;;;;;;;;;;
;;;;;;6;1,928628874;1,412398768;1,053229847;0;;;;;;;;;;5;1,558731918;1,952328709;0;;;;;;;;;;;;;;;
;;;;;;7;1,942684929;2,239448754;1,109769887;2,139870781;0;;;;;;;;;6;1,776081079;2,853624171;1,053229847;0;;;;;;;;;;;;;;
;;;;;;8;1,332938127;2,036432924;1,952328709;2,853624171;1,603026499;0;;;;;;;;7;2,465725612;1,603026499;1,109769887;2,139870781;0;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;8;2,257558239;2,465725612;1,952328709;2,853624171;1,603026499;0;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;0,2,1,4,3,9;5;6;7;8;;;;;;;1,053229847;;;;;;;;;;;;;;;;;;;;
;;;;;;0,2,1,4,3,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;5;1,418871387;0;;;;;;;;;;;;;0,2,1,4;3,9;5,6;7;8;;;;1,493275868;;;;;;;;;
;;;;;;6;1,670513821;1,053229847;0;;;;;;;;;;;0,2,1,4;0;;;;;;;;;;;;;;;;;
;;;;;;7;2,091066842;1,109769887;2,139870781;0;;;;;;;;;;3,9;1,493275868;0;;;;;;;;;;;;;;;;
;;;;;;8;1,684685525;1,952328709;2,853624171;1,603026499;0;;;;;;;;;5,6;1,776081079;2,853624171;0;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;7;2,465725612;1,603026499;2,139870781;0;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;8;2,257558239;2,465725612;2,853624171;1,603026499;0;;;;;;;;;;;;;
;;;;;;;0,2,1,4,3,9;5,6;7;8;;;;;;;;1,544692604;;;;;;;;;;;;;;;;;;;;
;;;;;;0,2,1,4,3,9;0;;;;;;;;;;;;;;0,2,1,4,3,9;5,6;7;8;;;;;1,603026499;;;;;;;;;
;;;;;;5,6;1,544692604;0;;;;;;;;;;;;0,2,1,4,3,9;0;;;;;;;;;;;;;;;;;
;;;;;;7;2,091066842;1,624820334;0;;;;0,2,1,4,3,9,5,6;7;8;;1,600418364;;;5,6;2,853624171;0;;;;;;;;;;;;;;;;
